Latitude,Longitude,Incident_Date,NPA,Weapon,Age,Gender,Race,Year,Month,Weekday,Hour,Weapon_Simplified
35.24564773734981,-80.71357202462691,2024-01-19,244,Handgun,26.0,Female,Hispanic,2024,1,4,0,Gun
35.240049318502486,-80.77817258460607,2024-01-16,128,Firearm,17.0,Male,Black,2024,1,1,0,Gun
35.289512915573766,-80.88157815287292,2024-01-04,158,Physical,54.0,Male,Black,2024,1,3,0,Other
35.273401009107836,-80.79209416854833,2023-12-27,371,Handgun,16.0,Female,Black,2023,12,2,0,Gun
35.07795283944783,-80.99339732021551,2023-12-27,76,Firearm,17.0,Male,Black,2023,12,2,0,Gun
35.29730995005079,-80.90246762301174,2023-12-24,113,Firearm,40.0,Male,Black,2023,12,6,0,Gun
35.16486283438991,-80.99196527835828,2023-12-23,45,Knife,19.0,Female,Hispanic,2023,12,5,0,Blade
35.20216702855584,-80.91214531134388,2023-12-19,159,Handgun,,Male,Hispanic,2023,12,1,0,Gun
35.09603225819819,-80.84151414466291,2023-12-12,177,Handgun,36.0,Female,White,2023,12,1,0,Gun
35.22614062041058,-80.88440103733016,2023-12-09,124,Firearm,52.0,Male,Black,2023,12,5,0,Gun
35.1412701312949,-80.91506316037865,2023-11-20,93,Handgun,32.0,Male,Black,2023,11,0,0,Gun
35.21657454957077,-80.90822052919118,2023-11-20,321,Handgun,21.0,Male,Black,2023,11,0,0,Gun
35.13727154706542,-80.9371266824845,2023-11-17,95,Unknown,41.0,Male,White,2023,11,4,0,Other
35.19333675736526,-80.7999111294081,2023-11-16,370,Handgun,25.0,Male,Black,2023,11,3,0,Gun
35.275345111430134,-80.79349752456882,2023-11-13,138,Handgun,34.0,Female,Black,2023,11,0,0,Gun
35.22563990919642,-80.82492930915181,2023-11-12,200,Handgun,26.0,Male,Black,2023,11,6,0,Gun
35.17404838130717,-80.75329397239857,2023-10-31,245,Firearm,22.0,Male,Black,2023,10,1,0,Gun
35.31333251033794,-80.82399955331616,2023-10-29,117,Firearm,19.0,Male,Black,2023,10,6,0,Gun
35.27114654605833,-80.85419152895146,2023-10-24,374,Handgun,19.0,Male,Black,2023,10,1,0,Gun
35.27114654605833,-80.85419152895146,2023-10-24,374,Handgun,27.0,Male,Black,2023,10,1,0,Gun
35.22905495555544,-80.7443300695394,2023-10-19,167,Handgun,20.0,Male,Black,2023,10,3,0,Gun
35.22902795928596,-80.77134072694193,2023-10-15,389,Handgun,54.0,Male,Black,2023,10,6,0,Gun
35.18589488783405,-80.7379197901866,2023-10-11,202,Handgun,34.0,Male,Black,2023,10,2,0,Gun
35.31376464150411,-80.71273357344697,2023-10-10,60,Handgun,22.0,Male,Black,2023,10,1,0,Gun
